id,top-left-square,top-right-square,top-middle-square,middle-left-square,middle-right-square,middle-middle-square,bottom-left-square,bottom-right-square,bottom-middle-square
693,x,o,o,x,o,x,b,o,x
694,x,o,o,x,o,b,o,x,x
695,x,o,o,b,x,o,x,x,o
696,x,o,o,b,o,x,x,o,x
697,x,o,o,b,o,x,o,x,x
698,x,o,b,x,o,x,o,o,x
699,x,o,b,x,o,x,b,o,b
700,x,o,b,x,o,b,b,o,x
701,x,o,b,o,o,x,x,o,x
702,x,o,b,b,o,x,x,o,b
703,x,o,b,b,o,x,b,o,x
704,x,o,b,b,o,b,x,o,x
705,x,b,x,x,x,o,o,o,o
706,x,b,x,x,o,x,o,o,o
707,x,b,x,x,b,b,o,o,o
708,x,b,x,o,x,x,o,o,o
709,x,b,x,o,o,o,x,x,o
710,x,b,x,o,o,o,x,o,x
711,x,b,x,o,o,o,x,b,b
712,x,b,x,o,o,o,o,x,x
713,x,b,x,o,o,o,b,x,b
714,x,b,x,o,o,o,b,b,x
715,x,b,x,b,x,b,o,o,o
716,x,b,x,b,b,x,o,o,o
717,x,b,o,x,x,o,o,x,o
718,x,b,o,x,x,o,b,b,o
719,x,b,o,x,o,x,o,x,o
720,x,b,o,x,o,x,o,o,x
721,x,b,o,x,o,x,o,b,b
722,x,b,o,x,o,o,o,x,x
723,x,b,o,x,o,b,o,x,b
724,x,b,o,x,o,b,o,b,x
725,x,b,o,x,b,o,b,x,o
726,x,b,o,o,x,o,x,x,o
727,x,b,o,o,o,x,o,x,x
728,x,b,o,b,x,o,x,b,o
729,x,b,o,b,x,o,b,x,o
730,x,b,o,b,o,x,o,x,b
731,x,b,o,b,o,x,o,b,x
732,x,b,o,b,o,b,o,x,x
733,x,b,o,b,b,o,x,x,o
734,x,b,b,x,x,b,o,o,o
735,x,b,b,x,b,x,o,o,o
736,x,b,b,o,o,o,x,x,b
737,x,b,b,o,o,o,x,b,x
738,x,b,b,o,o,o,b,x,x
739,x,b,b,b,x,x,o,o,o
740,o,x,x,x,x,b,o,o,o
741,o,x,x,x,o,x,o,b,o
742,o,x,x,x,o,x,b,o,o
743,o,x,x,x,o,o,x,b,o
744,o,x,x,x,o,o,b,x,o
745,o,x,x,x,o,b,x,o,o
746,o,x,x,x,o,b,o,x,o
747,o,x,x,x,o,b,b,b,o
748,o,x,x,x,b,x,o,o,o
749,o,x,x,o,x,x,o,o,b
750,o,x,x,o,x,x,o,b,o
751,o,x,x,o,x,o,o,b,x
752,o,x,x,o,x,b,o,o,x
753,o,x,x,o,x,b,o,b,b
754,o,x,x,o,o,x,x,b,o
755,o,x,x,o,o,x,o,x,b
756,o,x,x,o,o,x,b,x,o
757,o,x,x,o,o,o,x,x,b
758,o,x,x,o,o,o,x,b,x
759,o,x,x,o,o,o,b,x,x
760,o,x,x,o,o,b,x,x,o
761,o,x,x,o,o,b,o,x,x
762,o,x,x,o,b,x,o,x,o
763,o,x,x,o,b,x,o,b,b
764,o,x,x,o,b,o,o,x,x
765,o,x,x,o,b,b,o,x,b
766,o,x,x,o,b,b,o,b,x
767,o,x,x,b,x,x,o,o,o
768,o,x,x,b,o,x,x,o,o
769,o,x,x,b,o,x,o,x,o
770,o,x,x,b,o,x,b,b,o
771,o,x,x,b,o,o,x,x,o
772,o,x,x,b,o,b,x,b,o
773,o,x,x,b,o,b,b,x,o
774,o,x,o,x,x,o,x,b,o
775,o,x,o,x,o,x,x,b,o
776,o,x,o,x,o,x,o,x,b
777,o,x,o,x,o,x,o,b,x
778,o,x,o,x,o,x,b,x,o
779,o,x,o,x,o,b,x,x,o
780,o,x,o,x,o,b,o,x,x
781,o,x,o,x,b,o,x,x,o
782,o,x,o,o,x,x,o,b,x
783,o,x,o,o,b,x,o,x,x
784,o,x,o,b,o,x,x,x,o
785,o,x,o,b,o,x,o,x,x
786,o,x,b,x,o,x,x,o,o
787,o,x,b,x,o,x,o,x,o
788,o,x,b,x,o,x,b,b,o
789,o,x,b,x,o,o,x,x,o
790,o,x,b,x,o,b,x,b,o
791,o,x,b,x,o,b,b,x,o
792,o,x,b,o,x,x,o,o,x
793,o,x,b,o,x,x,o,b,b
794,o,x,b,o,x,b,o,b,x
795,o,x,b,o,o,x,x,x,o
796,o,x,b,o,o,x,o,x,x
797,o,x,b,o,b,x,o,x,b
798,o,x,b,o,b,x,o,b,x
799,o,x,b,o,b,b,o,x,x
800,o,x,b,b,o,x,x,b,o
801,o,x,b,b,o,x,b,x,o
802,o,x,b,b,o,b,x,x,o
803,o,o,x,x,o,x,x,o,b
804,o,o,x,x,o,x,x,b,o
805,o,o,x,x,o,x,b,x,o
806,o,o,x,x,o,b,x,x,o
807,o,o,x,x,o,b,x,o,x
808,o,o,x,o,x,x,o,x,b
809,o,o,x,o,x,b,o,x,x
810,o,o,x,b,o,x,x,x,o
811,o,o,o,x,x,o,x,x,b
812,o,o,o,x,x,o,x,b,x
813,o,o,o,x,x,o,b,x,x
814,o,o,o,x,x,b,x,x,o
815,o,o,o,x,x,b,x,o,x
816,o,o,o,x,x,b,x,b,b
817,o,o,o,x,x,b,o,x,x
818,o,o,o,x,x,b,b,x,b
819,o,o,o,x,x,b,b,b,x
820,o,o,o,x,o,x,x,x,b
821,o,o,o,x,o,x,x,b,x
822,o,o,o,x,o,x,b,x,x
823,o,o,o,x,b,x,x,x,o
824,o,o,o,x,b,x,x,o,x
825,o,o,o,x,b,x,x,b,b
826,o,o,o,x,b,x,o,x,x
827,o,o,o,x,b,x,b,x,b
828,o,o,o,x,b,x,b,b,x
829,o,o,o,x,b,b,x,x,b
830,o,o,o,x,b,b,x,b,x
831,o,o,o,x,b,b,b,x,x
832,o,o,o,o,x,x,x,x,b
833,o,o,o,o,x,x,x,b,x
834,o,o,o,o,x,x,b,x,x
835,o,o,o,b,x,x,x,x,o
836,o,o,o,b,x,x,x,o,x
837,o,o,o,b,x,x,x,b,b
838,o,o,o,b,x,x,o,x,x
839,o,o,o,b,x,x,b,x,b
840,o,o,o,b,x,x,b,b,x
841,o,o,o,b,x,b,x,x,b
842,o,o,o,b,x,b,x,b,x
843,o,o,o,b,x,b,b,x,x
844,o,o,o,b,b,x,x,x,b
845,o,o,o,b,b,x,x,b,x
846,o,o,o,b,b,x,b,x,x
847,o,o,b,x,o,x,x,x,o
848,o,o,b,x,o,x,x,o,x
849,o,o,b,o,x,x,o,x,x
850,o,b,x,x,o,x,x,o,o
851,o,b,x,x,o,x,o,x,o
852,o,b,x,x,o,x,b,b,o
853,o,b,x,x,o,o,x,x,o
854,o,b,x,x,o,b,x,b,o
855,o,b,x,x,o,b,b,x,o
856,o,b,x,o,x,x,o,x,o
857,o,b,x,o,x,x,o,b,b
858,o,b,x,o,x,o,o,x,x
859,o,b,x,o,x,b,o,x,b
860,o,b,x,o,x,b,o,b,x
861,o,b,x,o,o,x,x,x,o
862,o,b,x,o,b,x,o,x,b
863,o,b,x,o,b,b,o,x,x
864,o,b,x,b,o,x,x,b,o
865,o,b,x,b,o,x,b,x,o
866,o,b,x,b,o,b,x,x,o
867,o,b,o,x,x,o,x,x,o
868,o,b,o,x,o,x,x,x,o
869,o,b,o,x,o,x,o,x,x
870,o,b,o,o,x,x,o,x,x
871,o,b,b,x,o,x,x,b,o
872,o,b,b,x,o,x,b,x,o
873,o,b,b,x,o,b,x,x,o
874,o,b,b,o,x,x,o,x,b
875,o,b,b,o,x,x,o,b,x
876,o,b,b,o,x,b,o,x,x
877,o,b,b,o,b,x,o,x,x
878,o,b,b,b,o,x,x,x,o
879,b,x,x,x,x,o,o,o,o
880,b,x,x,x,o,x,o,o,o
881,b,x,x,x,b,b,o,o,o
882,b,x,x,o,x,x,o,o,o
883,b,x,x,o,o,o,x,x,o
884,b,x,x,o,o,o,x,o,x
885,b,x,x,o,o,o,x,b,b
886,b,x,x,o,o,o,o,x,x
887,b,x,x,o,o,o,b,x,b
888,b,x,x,o,o,o,b,b,x
889,b,x,x,b,x,b,o,o,o
890,b,x,x,b,b,x,o,o,o
891,b,x,o,x,x,o,x,o,o
892,b,x,o,x,x,o,b,b,o
893,b,x,o,x,o,x,o,x,o
894,b,x,o,x,o,x,o,o,x
895,b,x,o,x,o,x,o,b,b
896,b,x,o,x,o,o,x,x,o
897,b,x,o,x,o,o,o,x,x
898,b,x,o,x,o,b,o,x,b
899,b,x,o,x,o,b,o,b,x
900,b,x,o,x,b,o,x,b,o
901,b,x,o,x,b,o,b,x,o
902,b,x,o,o,o,x,o,x,x
903,b,x,o,b,x,o,x,b,o
904,b,x,o,b,o,x,o,x,b
905,b,x,o,b,o,x,o,b,x
906,b,x,o,b,o,b,o,x,x
907,b,x,o,b,b,o,x,x,o
908,b,x,b,x,x,b,o,o,o
909,b,x,b,x,b,x,o,o,o
910,b,x,b,o,o,o,x,x,b
911,b,x,b,o,o,o,x,b,x
912,b,x,b,o,o,o,b,x,x
913,b,x,b,b,x,x,o,o,o
914,b,o,x,x,o,x,x,o,o
915,b,o,x,x,o,x,b,o,b
916,b,o,x,x,o,o,x,o,x
917,b,o,x,x,o,b,x,o,b
918,b,o,x,x,o,b,b,o,x
919,b,o,x,b,o,x,x,o,b
920,b,o,x,b,o,b,x,o,x
921,b,o,o,x,x,o,x,x,o
922,b,o,o,x,o,x,x,o,x
923,b,o,o,x,o,x,o,x,x
924,b,o,b,x,o,x,x,o,b
925,b,o,b,x,o,x,b,o,x
926,b,o,b,x,o,b,x,o,x
927,b,o,b,b,o,x,x,o,x
928,b,b,x,x,x,b,o,o,o
929,b,b,x,x,b,x,o,o,o
930,b,b,x,o,o,o,x,x,b
931,b,b,x,o,o,o,x,b,x
932,b,b,x,o,o,o,b,x,x
933,b,b,x,b,x,x,o,o,o
934,b,b,o,x,x,o,x,b,o
935,b,b,o,x,x,o,b,x,o
936,b,b,o,x,o,x,o,x,b
937,b,b,o,x,o,x,o,b,x
938,b,b,o,x,o,b,o,x,x
939,b,b,o,x,b,o,x,x,o
940,b,b,o,b,x,o,x,x,o
941,b,b,o,b,o,x,o,x,x
942,x,x,o,o,x,x,x,o,o
943,x,x,o,o,o,x,x,x,o
944,x,x,o,o,o,x,x,o,x
945,x,o,x,x,x,o,o,x,o
946,x,o,x,x,o,x,o,x,o
947,x,o,x,x,o,o,o,x,x
948,x,o,x,o,x,x,o,x,o
949,x,o,x,o,o,x,x,x,o
950,x,o,o,o,x,x,x,x,o
951,o,x,x,x,x,o,o,o,x
952,o,x,x,x,o,o,x,o,x
953,o,x,x,x,o,o,o,x,x
954,o,x,o,x,x,o,x,o,x
955,o,x,o,x,o,x,x,o,x
956,o,x,o,o,x,x,x,o,x
957,o,o,x,x,x,o,o,x,x
