id,buying,maint,doors,persons,lug_boot,safety
912,medium,very high,3,more,med,low
913,medium,very high,3,more,med,med
914,medium,very high,3,more,med,high
915,medium,very high,3,more,big,low
916,medium,very high,3,more,big,med
917,medium,very high,3,more,big,high
918,medium,very high,4,2,small,low
919,medium,very high,4,2,small,med
920,medium,very high,4,2,small,high
921,medium,very high,4,2,med,low
922,medium,very high,4,2,med,med
923,medium,very high,4,2,med,high
924,medium,very high,4,2,big,low
925,medium,very high,4,2,big,med
926,medium,very high,4,2,big,high
927,medium,very high,4,4,small,low
928,medium,very high,4,4,small,med
929,medium,very high,4,4,small,high
930,medium,very high,4,4,med,low
931,medium,very high,4,4,med,med
932,medium,very high,4,4,med,high
933,medium,very high,4,4,big,low
934,medium,very high,4,4,big,med
935,medium,very high,4,4,big,high
936,medium,very high,4,more,small,low
937,medium,very high,4,more,small,med
938,medium,very high,4,more,small,high
939,medium,very high,4,more,med,low
940,medium,very high,4,more,med,med
941,medium,very high,4,more,med,high
942,medium,very high,4,more,big,low
943,medium,very high,4,more,big,med
944,medium,very high,4,more,big,high
945,medium,very high,5more,2,small,low
946,medium,very high,5more,2,small,med
947,medium,very high,5more,2,small,high
948,medium,very high,5more,2,med,low
949,medium,very high,5more,2,med,med
950,medium,very high,5more,2,med,high
951,medium,very high,5more,2,big,low
952,medium,very high,5more,2,big,med
953,medium,very high,5more,2,big,high
954,medium,very high,5more,4,small,low
955,medium,very high,5more,4,small,med
956,medium,very high,5more,4,small,high
957,medium,very high,5more,4,med,low
958,medium,very high,5more,4,med,med
959,medium,very high,5more,4,med,high
960,medium,very high,5more,4,big,low
961,medium,very high,5more,4,big,med
962,medium,very high,5more,4,big,high
963,medium,very high,5more,more,small,low
964,medium,very high,5more,more,small,med
965,medium,very high,5more,more,small,high
966,medium,very high,5more,more,med,low
967,medium,very high,5more,more,med,med
968,medium,very high,5more,more,med,high
969,medium,very high,5more,more,big,low
970,medium,very high,5more,more,big,med
971,medium,very high,5more,more,big,high
972,medium,high,2,2,small,low
973,medium,high,2,2,small,med
974,medium,high,2,2,small,high
975,medium,high,2,2,med,low
976,medium,high,2,2,med,med
977,medium,high,2,2,med,high
978,medium,high,2,2,big,low
979,medium,high,2,2,big,med
980,medium,high,2,2,big,high
981,medium,high,2,4,small,low
982,medium,high,2,4,small,med
983,medium,high,2,4,small,high
984,medium,high,2,4,med,low
985,medium,high,2,4,med,med
986,medium,high,2,4,med,high
987,medium,high,2,4,big,low
988,medium,high,2,4,big,med
989,medium,high,2,4,big,high
990,medium,high,2,more,small,low
991,medium,high,2,more,small,med
992,medium,high,2,more,small,high
993,medium,high,2,more,med,low
994,medium,high,2,more,med,med
995,medium,high,2,more,med,high
996,medium,high,2,more,big,low
997,medium,high,2,more,big,med
998,medium,high,2,more,big,high
999,medium,high,3,2,small,low
1000,medium,high,3,2,small,med
1001,medium,high,3,2,small,high
1002,medium,high,3,2,med,low
1003,medium,high,3,2,med,med
1004,medium,high,3,2,med,high
1005,medium,high,3,2,big,low
1006,medium,high,3,2,big,med
1007,medium,high,3,2,big,high
1008,medium,high,3,4,small,low
1009,medium,high,3,4,small,med
1010,medium,high,3,4,small,high
1011,medium,high,3,4,med,low
1012,medium,high,3,4,med,med
1013,medium,high,3,4,med,high
1014,medium,high,3,4,big,low
1015,medium,high,3,4,big,med
1016,medium,high,3,4,big,high
1017,medium,high,3,more,small,low
1018,medium,high,3,more,small,med
1019,medium,high,3,more,small,high
1020,medium,high,3,more,med,low
1021,medium,high,3,more,med,med
1022,medium,high,3,more,med,high
1023,medium,high,3,more,big,low
1024,medium,high,3,more,big,med
1025,medium,high,3,more,big,high
1026,medium,high,4,2,small,low
1027,medium,high,4,2,small,med
1028,medium,high,4,2,small,high
1029,medium,high,4,2,med,low
1030,medium,high,4,2,med,med
1031,medium,high,4,2,med,high
1032,medium,high,4,2,big,low
1033,medium,high,4,2,big,med
1034,medium,high,4,2,big,high
1035,medium,high,4,4,small,low
1036,medium,high,4,4,small,med
1037,medium,high,4,4,small,high
1038,medium,high,4,4,med,low
1039,medium,high,4,4,med,med
1040,medium,high,4,4,med,high
1041,medium,high,4,4,big,low
1042,medium,high,4,4,big,med
1043,medium,high,4,4,big,high
1044,medium,high,4,more,small,low
1045,medium,high,4,more,small,med
1046,medium,high,4,more,small,high
1047,medium,high,4,more,med,low
1048,medium,high,4,more,med,med
1049,medium,high,4,more,med,high
1050,medium,high,4,more,big,low
1051,medium,high,4,more,big,med
1052,medium,high,4,more,big,high
1053,medium,high,5more,2,small,low
1054,medium,high,5more,2,small,med
1055,medium,high,5more,2,small,high
1056,medium,high,5more,2,med,low
1057,medium,high,5more,2,med,med
1058,medium,high,5more,2,med,high
1059,medium,high,5more,2,big,low
1060,medium,high,5more,2,big,med
1061,medium,high,5more,2,big,high
1062,medium,high,5more,4,small,low
1063,medium,high,5more,4,small,med
1064,medium,high,5more,4,small,high
1065,medium,high,5more,4,med,low
1066,medium,high,5more,4,med,med
1067,medium,high,5more,4,med,high
1068,medium,high,5more,4,big,low
1069,medium,high,5more,4,big,med
1070,medium,high,5more,4,big,high
1071,medium,high,5more,more,small,low
1072,medium,high,5more,more,small,med
1073,medium,high,5more,more,small,high
1074,medium,high,5more,more,med,low
1075,medium,high,5more,more,med,med
1076,medium,high,5more,more,med,high
1077,medium,high,5more,more,big,low
1078,medium,high,5more,more,big,med
1079,medium,high,5more,more,big,high
1080,medium,medium,2,2,small,low
1081,medium,medium,2,2,small,med
1082,medium,medium,2,2,small,high
1083,medium,medium,2,2,med,low
1084,medium,medium,2,2,med,med
1085,medium,medium,2,2,med,high
1086,medium,medium,2,2,big,low
1087,medium,medium,2,2,big,med
1088,medium,medium,2,2,big,high
1089,medium,medium,2,4,small,low
1090,medium,medium,2,4,small,med
1091,medium,medium,2,4,small,high
1092,medium,medium,2,4,med,low
1093,medium,medium,2,4,med,med
1094,medium,medium,2,4,med,high
1095,medium,medium,2,4,big,low
1096,medium,medium,2,4,big,med
1097,medium,medium,2,4,big,high
1098,medium,medium,2,more,small,low
1099,medium,medium,2,more,small,med
1100,medium,medium,2,more,small,high
1101,medium,medium,2,more,med,low
1102,medium,medium,2,more,med,med
1103,medium,medium,2,more,med,high
1104,medium,medium,2,more,big,low
1105,medium,medium,2,more,big,med
1106,medium,medium,2,more,big,high
1107,medium,medium,3,2,small,low
1108,medium,medium,3,2,small,med
1109,medium,medium,3,2,small,high
1110,medium,medium,3,2,med,low
1111,medium,medium,3,2,med,med
1112,medium,medium,3,2,med,high
1113,medium,medium,3,2,big,low
1114,medium,medium,3,2,big,med
1115,medium,medium,3,2,big,high
1116,medium,medium,3,4,small,low
1117,medium,medium,3,4,small,med
1118,medium,medium,3,4,small,high
1119,medium,medium,3,4,med,low
1120,medium,medium,3,4,med,med
1121,medium,medium,3,4,med,high
1122,medium,medium,3,4,big,low
1123,medium,medium,3,4,big,med
1124,medium,medium,3,4,big,high
1125,medium,medium,3,more,small,low
1126,medium,medium,3,more,small,med
1127,medium,medium,3,more,small,high
1128,medium,medium,3,more,med,low
1129,medium,medium,3,more,med,med
1130,medium,medium,3,more,med,high
1131,medium,medium,3,more,big,low
1132,medium,medium,3,more,big,med
1133,medium,medium,3,more,big,high
1134,medium,medium,4,2,small,low
1135,medium,medium,4,2,small,med
1136,medium,medium,4,2,small,high
1137,medium,medium,4,2,med,low
1138,medium,medium,4,2,med,med
1139,medium,medium,4,2,med,high
1140,medium,medium,4,2,big,low
1141,medium,medium,4,2,big,med
1142,medium,medium,4,2,big,high
1143,medium,medium,4,4,small,low
1144,medium,medium,4,4,small,med
1145,medium,medium,4,4,small,high
1146,medium,medium,4,4,med,low
1147,medium,medium,4,4,med,med
1148,medium,medium,4,4,med,high
1149,medium,medium,4,4,big,low
1150,medium,medium,4,4,big,med
1151,medium,medium,4,4,big,high
1152,medium,medium,4,more,small,low
1153,medium,medium,4,more,small,med
1154,medium,medium,4,more,small,high
1155,medium,medium,4,more,med,low
1156,medium,medium,4,more,med,med
1157,medium,medium,4,more,med,high
1158,medium,medium,4,more,big,low
1159,medium,medium,4,more,big,med
1160,medium,medium,4,more,big,high
1161,medium,medium,5more,2,small,low
1162,medium,medium,5more,2,small,med
1163,medium,medium,5more,2,small,high
1164,medium,medium,5more,2,med,low
1165,medium,medium,5more,2,med,med
1166,medium,medium,5more,2,med,high
1167,medium,medium,5more,2,big,low
1168,medium,medium,5more,2,big,med
1169,medium,medium,5more,2,big,high
1170,medium,medium,5more,4,small,low
1171,medium,medium,5more,4,small,med
1172,medium,medium,5more,4,small,high
1173,medium,medium,5more,4,med,low
1174,medium,medium,5more,4,med,med
1175,medium,medium,5more,4,med,high
1176,medium,medium,5more,4,big,low
1177,medium,medium,5more,4,big,med
1178,medium,medium,5more,4,big,high
1179,medium,medium,5more,more,small,low
1180,medium,medium,5more,more,small,med
1181,medium,medium,5more,more,small,high
1182,medium,medium,5more,more,med,low
1183,medium,medium,5more,more,med,med
1184,medium,medium,5more,more,med,high
1185,medium,medium,5more,more,big,low
1186,medium,medium,5more,more,big,med
1187,medium,medium,5more,more,big,high
1188,medium,low,2,2,small,low
1189,medium,low,2,2,small,med
1190,medium,low,2,2,small,high
1191,medium,low,2,2,med,low
1192,medium,low,2,2,med,med
1193,medium,low,2,2,med,high
1194,medium,low,2,2,big,low
1195,medium,low,2,2,big,med
1196,medium,low,2,2,big,high
1197,medium,low,2,4,small,low
1198,medium,low,2,4,small,med
1199,medium,low,2,4,small,high
1200,medium,low,2,4,med,low
1201,medium,low,2,4,med,med
1202,medium,low,2,4,med,high
1203,medium,low,2,4,big,low
1204,medium,low,2,4,big,med
1205,medium,low,2,4,big,high
1206,medium,low,2,more,small,low
1207,medium,low,2,more,small,med
1208,medium,low,2,more,small,high
1209,medium,low,2,more,med,low
1210,medium,low,2,more,med,med
1211,medium,low,2,more,med,high
1212,medium,low,2,more,big,low
1213,medium,low,2,more,big,med
1214,medium,low,2,more,big,high
1215,medium,low,3,2,small,low
1216,medium,low,3,2,small,med
1217,medium,low,3,2,small,high
1218,medium,low,3,2,med,low
1219,medium,low,3,2,med,med
1220,medium,low,3,2,med,high
1221,medium,low,3,2,big,low
1222,medium,low,3,2,big,med
1223,medium,low,3,2,big,high
1224,medium,low,3,4,small,low
1225,medium,low,3,4,small,med
1226,medium,low,3,4,small,high
1227,medium,low,3,4,med,low
1228,medium,low,3,4,med,med
1229,medium,low,3,4,med,high
1230,medium,low,3,4,big,low
1231,medium,low,3,4,big,med
1232,medium,low,3,4,big,high
1233,medium,low,3,more,small,low
1234,medium,low,3,more,small,med
1235,medium,low,3,more,small,high
1236,medium,low,3,more,med,low
1237,medium,low,3,more,med,med
1238,medium,low,3,more,med,high
1239,medium,low,3,more,big,low
1240,medium,low,3,more,big,med
1241,medium,low,3,more,big,high
1242,medium,low,4,2,small,low
1243,medium,low,4,2,small,med
1244,medium,low,4,2,small,high
1245,medium,low,4,2,med,low
1246,medium,low,4,2,med,med
1247,medium,low,4,2,med,high
1248,medium,low,4,2,big,low
1249,medium,low,4,2,big,med
1250,medium,low,4,2,big,high
1251,medium,low,4,4,small,low
1252,medium,low,4,4,small,med
1253,medium,low,4,4,small,high
1254,medium,low,4,4,med,low
1255,medium,low,4,4,med,med
1256,medium,low,4,4,med,high
1257,medium,low,4,4,big,low
1258,medium,low,4,4,big,med
1259,medium,low,4,4,big,high
1260,medium,low,4,more,small,low
1261,medium,low,4,more,small,med
1262,medium,low,4,more,small,high
1263,medium,low,4,more,med,low
1264,medium,low,4,more,med,med
1265,medium,low,4,more,med,high
1266,medium,low,4,more,big,low
1267,medium,low,4,more,big,med
1268,medium,low,4,more,big,high
1269,medium,low,5more,2,small,low
1270,medium,low,5more,2,small,med
1271,medium,low,5more,2,small,high
1272,medium,low,5more,2,med,low
1273,medium,low,5more,2,med,med
1274,medium,low,5more,2,med,high
1275,medium,low,5more,2,big,low
1276,medium,low,5more,2,big,med
1277,medium,low,5more,2,big,high
1278,medium,low,5more,4,small,low
1279,medium,low,5more,4,small,med
1280,medium,low,5more,4,small,high
1281,medium,low,5more,4,med,low
1282,medium,low,5more,4,med,med
1283,medium,low,5more,4,med,high
1284,medium,low,5more,4,big,low
1285,medium,low,5more,4,big,med
1286,medium,low,5more,4,big,high
1287,medium,low,5more,more,small,low
1288,medium,low,5more,more,small,med
1289,medium,low,5more,more,small,high
1290,medium,low,5more,more,med,low
1291,medium,low,5more,more,med,med
1292,medium,low,5more,more,med,high
1293,medium,low,5more,more,big,low
1294,medium,low,5more,more,big,med
1295,medium,low,5more,more,big,high
1296,low,very high,2,2,small,low
1297,low,very high,2,2,small,med
1298,low,very high,2,2,small,high
1299,low,very high,2,2,med,low
1300,low,very high,2,2,med,med
1301,low,very high,2,2,med,high
1302,low,very high,2,2,big,low
1303,low,very high,2,2,big,med
1304,low,very high,2,2,big,high
1305,low,very high,2,4,small,low
1306,low,very high,2,4,small,med
1307,low,very high,2,4,small,high
1308,low,very high,2,4,med,low
1309,low,very high,2,4,med,med
1310,low,very high,2,4,med,high
1311,low,very high,2,4,big,low
1312,low,very high,2,4,big,med
1313,low,very high,2,4,big,high
1314,low,very high,2,more,small,low
1315,low,very high,2,more,small,med
1316,low,very high,2,more,small,high
1317,low,very high,2,more,med,low
1318,low,very high,2,more,med,med
1319,low,very high,2,more,med,high
1320,low,very high,2,more,big,low
1321,low,very high,2,more,big,med
1322,low,very high,2,more,big,high
1323,low,very high,3,2,small,low
1324,low,very high,3,2,small,med
1325,low,very high,3,2,small,high
1326,low,very high,3,2,med,low
1327,low,very high,3,2,med,med
1328,low,very high,3,2,med,high
1329,low,very high,3,2,big,low
1330,low,very high,3,2,big,med
1331,low,very high,3,2,big,high
1332,low,very high,3,4,small,low
1333,low,very high,3,4,small,med
1334,low,very high,3,4,small,high
1335,low,very high,3,4,med,low
1336,low,very high,3,4,med,med
1337,low,very high,3,4,med,high
1338,low,very high,3,4,big,low
1339,low,very high,3,4,big,med
1340,low,very high,3,4,big,high
1341,low,very high,3,more,small,low
1342,low,very high,3,more,small,med
1343,low,very high,3,more,small,high
1344,low,very high,3,more,med,low
1345,low,very high,3,more,med,med
1346,low,very high,3,more,med,high
1347,low,very high,3,more,big,low
1348,low,very high,3,more,big,med
1349,low,very high,3,more,big,high
1350,low,very high,4,2,small,low
1351,low,very high,4,2,small,med
1352,low,very high,4,2,small,high
1353,low,very high,4,2,med,low
1354,low,very high,4,2,med,med
1355,low,very high,4,2,med,high
1356,low,very high,4,2,big,low
1357,low,very high,4,2,big,med
1358,low,very high,4,2,big,high
1359,low,very high,4,4,small,low
1360,low,very high,4,4,small,med
1361,low,very high,4,4,small,high
1362,low,very high,4,4,med,low
1363,low,very high,4,4,med,med
1364,low,very high,4,4,med,high
1365,low,very high,4,4,big,low
1366,low,very high,4,4,big,med
1367,low,very high,4,4,big,high
1368,low,very high,4,more,small,low
1369,low,very high,4,more,small,med
1370,low,very high,4,more,small,high
1371,low,very high,4,more,med,low
1372,low,very high,4,more,med,med
1373,low,very high,4,more,med,high
1374,low,very high,4,more,big,low
1375,low,very high,4,more,big,med
1376,low,very high,4,more,big,high
1377,low,very high,5more,2,small,low
1378,low,very high,5more,2,small,med
1379,low,very high,5more,2,small,high
1380,low,very high,5more,2,med,low
1381,low,very high,5more,2,med,med
1382,low,very high,5more,2,med,high
1383,low,very high,5more,2,big,low
1384,low,very high,5more,2,big,med
1385,low,very high,5more,2,big,high
1386,low,very high,5more,4,small,low
1387,low,very high,5more,4,small,med
1388,low,very high,5more,4,small,high
1389,low,very high,5more,4,med,low
1390,low,very high,5more,4,med,med
1391,low,very high,5more,4,med,high
1392,low,very high,5more,4,big,low
1393,low,very high,5more,4,big,med
1394,low,very high,5more,4,big,high
1395,low,very high,5more,more,small,low
1396,low,very high,5more,more,small,med
1397,low,very high,5more,more,small,high
1398,low,very high,5more,more,med,low
1399,low,very high,5more,more,med,med
1400,low,very high,5more,more,med,high
1401,low,very high,5more,more,big,low
1402,low,very high,5more,more,big,med
1403,low,very high,5more,more,big,high
1404,low,high,2,2,small,low
1405,low,high,2,2,small,med
1406,low,high,2,2,small,high
1407,low,high,2,2,med,low
1408,low,high,2,2,med,med
1409,low,high,2,2,med,high
1410,low,high,2,2,big,low
1411,low,high,2,2,big,med
1412,low,high,2,2,big,high
1413,low,high,2,4,small,low
1414,low,high,2,4,small,med
1415,low,high,2,4,small,high
1416,low,high,2,4,med,low
1417,low,high,2,4,med,med
1418,low,high,2,4,med,high
1419,low,high,2,4,big,low
1420,low,high,2,4,big,med
1421,low,high,2,4,big,high
1422,low,high,2,more,small,low
1423,low,high,2,more,small,med
1424,low,high,2,more,small,high
1425,low,high,2,more,med,low
1426,low,high,2,more,med,med
1427,low,high,2,more,med,high
1428,low,high,2,more,big,low
1429,low,high,2,more,big,med
1430,low,high,2,more,big,high
1431,low,high,3,2,small,low
1432,low,high,3,2,small,med
1433,low,high,3,2,small,high
1434,low,high,3,2,med,low
1435,low,high,3,2,med,med
1436,low,high,3,2,med,high
1437,low,high,3,2,big,low
1438,low,high,3,2,big,med
1439,low,high,3,2,big,high
1440,low,high,3,4,small,low
1441,low,high,3,4,small,med
1442,low,high,3,4,small,high
1443,low,high,3,4,med,low
1444,low,high,3,4,med,med
1445,low,high,3,4,med,high
1446,low,high,3,4,big,low
1447,low,high,3,4,big,med
1448,low,high,3,4,big,high
1449,low,high,3,more,small,low
1450,low,high,3,more,small,med
1451,low,high,3,more,small,high
1452,low,high,3,more,med,low
1453,low,high,3,more,med,med
1454,low,high,3,more,med,high
1455,low,high,3,more,big,low
1456,low,high,3,more,big,med
1457,low,high,3,more,big,high
1458,low,high,4,2,small,low
1459,low,high,4,2,small,med
1460,low,high,4,2,small,high
1461,low,high,4,2,med,low
1462,low,high,4,2,med,med
1463,low,high,4,2,med,high
1464,low,high,4,2,big,low
1465,low,high,4,2,big,med
1466,low,high,4,2,big,high
1467,low,high,4,4,small,low
1468,low,high,4,4,small,med
1469,low,high,4,4,small,high
1470,low,high,4,4,med,low
1471,low,high,4,4,med,med
1472,low,high,4,4,med,high
1473,low,high,4,4,big,low
1474,low,high,4,4,big,med
1475,low,high,4,4,big,high
1476,low,high,4,more,small,low
1477,low,high,4,more,small,med
1478,low,high,4,more,small,high
1479,low,high,4,more,med,low
1480,low,high,4,more,med,med
1481,low,high,4,more,med,high
1482,low,high,4,more,big,low
1483,low,high,4,more,big,med
1484,low,high,4,more,big,high
1485,low,high,5more,2,small,low
1486,low,high,5more,2,small,med
1487,low,high,5more,2,small,high
1488,low,high,5more,2,med,low
1489,low,high,5more,2,med,med
1490,low,high,5more,2,med,high
1491,low,high,5more,2,big,low
1492,low,high,5more,2,big,med
1493,low,high,5more,2,big,high
1494,low,high,5more,4,small,low
1495,low,high,5more,4,small,med
1496,low,high,5more,4,small,high
1497,low,high,5more,4,med,low
1498,low,high,5more,4,med,med
1499,low,high,5more,4,med,high
1500,low,high,5more,4,big,low
1501,low,high,5more,4,big,med
1502,low,high,5more,4,big,high
1503,low,high,5more,more,small,low
1504,low,high,5more,more,small,med
1505,low,high,5more,more,small,high
1506,low,high,5more,more,med,low
1507,low,high,5more,more,med,med
1508,low,high,5more,more,med,high
1509,low,high,5more,more,big,low
1510,low,high,5more,more,big,med
1511,low,high,5more,more,big,high
1512,low,medium,2,2,small,low
1513,low,medium,2,2,small,med
1514,low,medium,2,2,small,high
1515,low,medium,2,2,med,low
1516,low,medium,2,2,med,med
1517,low,medium,2,2,med,high
1518,low,medium,2,2,big,low
1519,low,medium,2,2,big,med
1520,low,medium,2,2,big,high
1521,low,medium,2,4,small,low
1522,low,medium,2,4,small,med
1523,low,medium,2,4,small,high
1524,low,medium,2,4,med,low
1525,low,medium,2,4,med,med
1526,low,medium,2,4,med,high
1527,low,medium,2,4,big,low
1528,low,medium,2,4,big,med
1529,low,medium,2,4,big,high
1530,low,medium,2,more,small,low
1531,low,medium,2,more,small,med
1532,low,medium,2,more,small,high
1533,low,medium,2,more,med,low
1534,low,medium,2,more,med,med
1535,low,medium,2,more,med,high
1536,low,medium,2,more,big,low
1537,low,medium,2,more,big,med
1538,low,medium,2,more,big,high
1539,low,medium,3,2,small,low
1540,low,medium,3,2,small,med
1541,low,medium,3,2,small,high
1542,low,medium,3,2,med,low
1543,low,medium,3,2,med,med
1544,low,medium,3,2,med,high
1545,low,medium,3,2,big,low
1546,low,medium,3,2,big,med
1547,low,medium,3,2,big,high
1548,low,medium,3,4,small,low
1549,low,medium,3,4,small,med
1550,low,medium,3,4,small,high
1551,low,medium,3,4,med,low
1552,low,medium,3,4,med,med
1553,low,medium,3,4,med,high
1554,low,medium,3,4,big,low
1555,low,medium,3,4,big,med
1556,low,medium,3,4,big,high
1557,low,medium,3,more,small,low
1558,low,medium,3,more,small,med
1559,low,medium,3,more,small,high
1560,low,medium,3,more,med,low
1561,low,medium,3,more,med,med
1562,low,medium,3,more,med,high
1563,low,medium,3,more,big,low
1564,low,medium,3,more,big,med
1565,low,medium,3,more,big,high
1566,low,medium,4,2,small,low
1567,low,medium,4,2,small,med
1568,low,medium,4,2,small,high
1569,low,medium,4,2,med,low
1570,low,medium,4,2,med,med
1571,low,medium,4,2,med,high
1572,low,medium,4,2,big,low
1573,low,medium,4,2,big,med
1574,low,medium,4,2,big,high
1575,low,medium,4,4,small,low
1576,low,medium,4,4,small,med
1577,low,medium,4,4,small,high
1578,low,medium,4,4,med,low
1579,low,medium,4,4,med,med
1580,low,medium,4,4,med,high
1581,low,medium,4,4,big,low
1582,low,medium,4,4,big,med
1583,low,medium,4,4,big,high
1584,low,medium,4,more,small,low
1585,low,medium,4,more,small,med
1586,low,medium,4,more,small,high
1587,low,medium,4,more,med,low
1588,low,medium,4,more,med,med
1589,low,medium,4,more,med,high
1590,low,medium,4,more,big,low
1591,low,medium,4,more,big,med
1592,low,medium,4,more,big,high
1593,low,medium,5more,2,small,low
1594,low,medium,5more,2,small,med
1595,low,medium,5more,2,small,high
1596,low,medium,5more,2,med,low
1597,low,medium,5more,2,med,med
1598,low,medium,5more,2,med,high
1599,low,medium,5more,2,big,low
1600,low,medium,5more,2,big,med
1601,low,medium,5more,2,big,high
1602,low,medium,5more,4,small,low
1603,low,medium,5more,4,small,med
1604,low,medium,5more,4,small,high
1605,low,medium,5more,4,med,low
1606,low,medium,5more,4,med,med
1607,low,medium,5more,4,med,high
1608,low,medium,5more,4,big,low
1609,low,medium,5more,4,big,med
1610,low,medium,5more,4,big,high
1611,low,medium,5more,more,small,low
1612,low,medium,5more,more,small,med
1613,low,medium,5more,more,small,high
1614,low,medium,5more,more,med,low
1615,low,medium,5more,more,med,med
1616,low,medium,5more,more,med,high
1617,low,medium,5more,more,big,low
1618,low,medium,5more,more,big,med
1619,low,medium,5more,more,big,high
1620,low,low,2,2,small,low
1621,low,low,2,2,small,med
1622,low,low,2,2,small,high
1623,low,low,2,2,med,low
1624,low,low,2,2,med,med
1625,low,low,2,2,med,high
1626,low,low,2,2,big,low
1627,low,low,2,2,big,med
1628,low,low,2,2,big,high
1629,low,low,2,4,small,low
1630,low,low,2,4,small,med
1631,low,low,2,4,small,high
1632,low,low,2,4,med,low
1633,low,low,2,4,med,med
1634,low,low,2,4,med,high
1635,low,low,2,4,big,low
1636,low,low,2,4,big,med
1637,low,low,2,4,big,high
1638,low,low,2,more,small,low
1639,low,low,2,more,small,med
1640,low,low,2,more,small,high
1641,low,low,2,more,med,low
1642,low,low,2,more,med,med
1643,low,low,2,more,med,high
1644,low,low,2,more,big,low
1645,low,low,2,more,big,med
1646,low,low,2,more,big,high
1647,low,low,3,2,small,low
1648,low,low,3,2,small,med
1649,low,low,3,2,small,high
1650,low,low,3,2,med,low
1651,low,low,3,2,med,med
1652,low,low,3,2,med,high
1653,low,low,3,2,big,low
1654,low,low,3,2,big,med
1655,low,low,3,2,big,high
1656,low,low,3,4,small,low
1657,low,low,3,4,small,med
1658,low,low,3,4,small,high
1659,low,low,3,4,med,low
1660,low,low,3,4,med,med
1661,low,low,3,4,med,high
1662,low,low,3,4,big,low
1663,low,low,3,4,big,med
1664,low,low,3,4,big,high
1665,low,low,3,more,small,low
1666,low,low,3,more,small,med
1667,low,low,3,more,small,high
1668,low,low,3,more,med,low
1669,low,low,3,more,med,med
1670,low,low,3,more,med,high
1671,low,low,3,more,big,low
1672,low,low,3,more,big,med
1673,low,low,3,more,big,high
1674,low,low,4,2,small,low
1675,low,low,4,2,small,med
1676,low,low,4,2,small,high
1677,low,low,4,2,med,low
1678,low,low,4,2,med,med
1679,low,low,4,2,med,high
1680,low,low,4,2,big,low
1681,low,low,4,2,big,med
1682,low,low,4,2,big,high
1683,low,low,4,4,small,low
1684,low,low,4,4,small,med
1685,low,low,4,4,small,high
1686,low,low,4,4,med,low
1687,low,low,4,4,med,med
1688,low,low,4,4,med,high
1689,low,low,4,4,big,low
1690,low,low,4,4,big,med
1691,low,low,4,4,big,high
1692,low,low,4,more,small,low
1693,low,low,4,more,small,med
1694,low,low,4,more,small,high
1695,low,low,4,more,med,low
1696,low,low,4,more,med,med
1697,low,low,4,more,med,high
1698,low,low,4,more,big,low
1699,low,low,4,more,big,med
1700,low,low,4,more,big,high
1701,low,low,5more,2,small,low
1702,low,low,5more,2,small,med
1703,low,low,5more,2,small,high
1704,low,low,5more,2,med,low
1705,low,low,5more,2,med,med
1706,low,low,5more,2,med,high
1707,low,low,5more,2,big,low
1708,low,low,5more,2,big,med
1709,low,low,5more,2,big,high
1710,low,low,5more,4,small,low
1711,low,low,5more,4,small,med
1712,low,low,5more,4,small,high
1713,low,low,5more,4,med,low
1714,low,low,5more,4,med,med
1715,low,low,5more,4,med,high
1716,low,low,5more,4,big,low
1717,low,low,5more,4,big,med
1718,low,low,5more,4,big,high
1719,low,low,5more,more,small,low
1720,low,low,5more,more,small,med
1721,low,low,5more,more,small,high
1722,low,low,5more,more,med,low
1723,low,low,5more,more,med,med
1724,low,low,5more,more,med,high
1725,low,low,5more,more,big,low
1726,low,low,5more,more,big,med
1727,low,low,5more,more,big,high
